800.00	87987.69	267.44	0.0022289	79.00	83.39	35.89	43.77
810.00	87872.86	267.36	0.0022215	79.36	83.54	35.76	43.59
820.00	87758.33	267.29	0.0022151	80.00	83.71	35.64	43.44
830.00	87641.67	267.21	0.0022151	80.00	84.20	35.48	43.28
840.00	87533.08	267.27	0.0022358	80.69	84.44	35.33	43.14
850.00	87425.00	267.30	0.0022499	81.00	84.65	35.16	43.01
860.00	87316.66	267.23	0.0022516	81.00	85.09	34.99	42.87
870.00	87206.67	267.07	0.0022433	81.17	85.90	34.81	42.73
880.00	87090.00	266.90	0.0022350	82.00	86.71	34.62	42.58
890.00	86970.00	266.90	0.0022350	82.00	86.59	34.39	42.40
900.00	86861.67	266.82	0.0022433	82.83	87.43	34.18	42.24
910.00	86753.85	266.86	0.0022511	83.00	87.28	33.98	42.09
920.00	86641.67	266.86	0.0022549	83.00	87.34	33.77	41.92
930.00	86527.50	266.82	0.0022574	83.00	87.58	33.53	41.75
940.00	86419.23	266.91	0.0022695	83.08	87.31	33.29	41.57
950.00	86311.54	266.98	0.0023154	83.85	88.37	33.05	41.40
960.00	86204.29	267.11	0.0023530	84.00	88.69	32.80	41.24
970.00	86093.85	267.20	0.0023774	84.31	88.84	32.55	41.06
980.00	85979.17	267.20	0.0023851	85.00	89.01	32.27	40.88
990.00	85870.83	267.20	0.0023934	85.00	89.21	31.95	40.69
1000.00	85762.50	267.20	0.0023943	85.00	89.13	31.61	40.50
1010.00	85654.62	267.20	0.0024050	85.54	89.41	31.29	40.33
1020.00	85546.67	267.20	0.0024274	86.00	90.13	30.95	40.16
1030.00	85436.00	267.20	0.0024540	86.20	91.00	30.58	39.97
1040.00	85318.00	267.18	0.0024520	87.00	90.96	30.13	39.74
1050.00	85210.00	267.08	0.0024422	87.00	91.25	29.69	39.51
1060.00	85109.17	266.99	0.0024332	87.00	91.52	29.28	39.27
1070.00	85000.84	266.91	0.0024249	87.00	91.75	28.90	39.02
1080.00	84891.00	266.81	0.0024331	87.90	92.72	28.45	38.72
1090.00	84781.00	266.89	0.0024788	88.90	93.69	27.98	38.40
1100.00	84680.00	267.06	0.0025327	89.00	94.19	27.54	38.10
1110.00	84564.00	267.18	0.0025515	89.00	93.81	27.06	37.77
1120.00	84460.00	267.20	0.0025607	89.00	93.87	26.60	37.47
1130.00	84353.00	267.27	0.0025843	89.00	94.04	26.10	37.14
1140.00	84243.64	267.36	0.0026059	89.00	93.95	25.60	36.83
1150.00	84140.00	267.47	0.0026198	89.00	93.50	25.03	36.49
1160.00	84031.25	267.50	0.0026318	89.00	93.53	24.34	36.09
1170.00	83921.00	267.50	0.0026420	89.00	93.77	23.74	35.75
1180.00	83820.00	267.50	0.0026430	89.00	93.70	23.08	35.40
1190.00	83700.00	267.63	0.0026737	90.09	93.61	22.42	35.06
1200.00	83600.00	267.90	0.0027822	91.00	95.05	21.87	34.79
1210.00	83500.00	268.72	0.0030353	92.82	96.52	21.33	34.57
1220.00	83391.82	269.05	0.0031338	93.82	96.81	20.80	34.37
1230.00	83282.00	269.02	0.0031103	93.20	96.17	20.24	34.20
1240.00	83180.00	269.00	0.0031004	92.20	95.91	19.68	34.05
1250.00	83072.00	269.08	0.0030924	92.00	94.90	19.15	33.92
1260.00	82970.00	269.10	0.0031049	92.00	95.00	18.68	33.79
1270.00	82864.17	269.10	0.0031219	92.00	95.40	18.26	33.66
1280.00	82760.00	269.10	0.0031343	92.00	95.66	17.87	33.52
1290.00	82656.67	269.10	0.0031401	92.00	95.71	17.44	33.35
1300.00	82550.00	269.10	0.0031441	92.40	95.71	16.96	33.11
1310.00	82446.37	269.10	0.0031537	93.00	95.88	16.53	32.85
1320.00	82340.00	269.10	0.0031573	93.00	95.87	16.13	32.55
1330.00	82238.00	269.10	0.0031540	93.00	95.65	15.73	32.19
1340.00	82130.00	269.10	0.0031716	93.00	96.06	15.30	31.73
1350.00	82030.00	269.10	0.0031799	93.00	96.19	14.94	31.26
1360.00	81920.00	269.00	0.0031699	93.00	96.58	14.51	30.59
1370.00	81820.00	269.00	0.0031699	93.00	96.46	14.12	29.91
1380.00	81711.00	269.00	0.0031878	93.90	96.87	13.71	29.10
1390.00	81610.00	269.00	0.0031898	94.00	96.82	13.31	28.25
1400.00	81510.00	268.92	0.0031898	94.00	97.37	12.95	27.45
1410.00	81410.00	268.90	0.0031837	94.00	97.22	12.65	26.78
1420.00	81305.83	268.86	0.0031757	94.00	97.19	12.37	26.13
1430.00	81197.27	268.80	0.0031699	94.00	97.37	12.08	25.47
1440.00	81090.00	268.78	0.0031683	94.00	97.33	11.79	24.83
1450.00	80990.00	268.70	0.0031600	94.00	97.65	11.54	24.29
1460.00	80890.00	268.70	0.0031517	94.00	97.27	11.32	23.83
1470.00	80790.00	268.63	0.0031434	94.00	97.45	11.10	23.42
1480.00	80690.00	268.60	0.0031401	94.00	97.50	10.89	23.05
1490.00	80585.83	268.56	0.0031401	94.00	97.72	10.70	22.74
1500.00	80477.27	268.50	0.0031401	94.00	98.08	10.52	22.50
1510.00	80370.00	268.50	0.0031401	94.18	97.95	10.34	22.30
1520.00	80270.77	268.49	0.0031401	95.00	97.89	10.18	22.14
1530.00	80178.46	268.42	0.0031401	95.00	98.43	10.04	22.03
1540.00	80080.00	268.40	0.0031401	95.00	98.43	9.91	21.94
1550.00	79975.83	268.40	0.0031360	95.00	98.18	9.77	21.83
1560.00	79870.00	268.37	0.0031302	95.00	98.09	9.63	21.70
1570.00	79770.00	268.30	0.0031284	95.00	98.53	9.48	21.57
1580.00	79670.00	268.29	0.0031202	94.92	98.22	9.33	21.43
1590.00	79570.00	268.21	0.0031202	94.08	98.80	9.19	21.31
1600.00	79461.82	268.20	0.0031121	94.00	98.47	9.04	21.19
1610.00	79366.67	268.13	0.0030970	94.00	98.44	8.89	21.12
1620.00	79265.00	268.05	0.0030855	94.50	98.65	8.75	21.06
1630.00	79163.08	267.97	0.0030805	95.00	99.05	8.62	21.03
1640.00	79069.09	267.90	0.0030787	95.00	99.46	8.48	21.01
1650.00	78960.00	267.90	0.0030606	95.00	98.74	8.33	21.00
